title,artist,link
Portrait of a Seated Woman,Barbara Mackie,collections.ed.ac.uk/art/record/20999?highlight=*:*
Portrait of Seated Woman (1952),Nicholas Patrick Reyntiens,collections.ed.ac.uk/art/record/21371?highlight=*:*
Untitled (2006),Amelia Smith,collections.ed.ac.uk/art/record/99863?highlight=*:*
Child's collar. Chinese,Unknown,collections.ed.ac.uk/art/record/102674?highlight=*:*
Groom and horses from North Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20713?highlight=*:*
Unknown,Audry Redpath,collections.ed.ac.uk/art/record/50434?highlight=*:*
Swirl V (1998),Fionna Buck,collections.ed.ac.uk/art/record/21674?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21551?highlight=*:*
Seated Female Nude (1959),W Bryden,collections.ed.ac.uk/art/record/21107?highlight=*:*
Abstract Composition with Fabric Collage,Caroline E. L. Wilkinson,collections.ed.ac.uk/art/record/22511?highlight=*:*
Farm Building (01 May 1985),Allison E Sharpe,collections.ed.ac.uk/art/record/21467?highlight=*:*
'Gordini' Fairground Ride,Hazel Walker,collections.ed.ac.uk/art/record/21508?highlight=*:*
"3,500 Men (May 1986)",Andrew Arnott,collections.ed.ac.uk/art/record/99470?highlight=*:*
Untitled (Unknown),S J Dooley,collections.ed.ac.uk/art/record/99912?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/22000?highlight=*:*
Unknown (1948),John W. Corner,collections.ed.ac.uk/art/record/50516?highlight=*:*
Girl and Baby (1962),Joan Eardley,collections.ed.ac.uk/art/record/99214?highlight=*:*
Unknown (1989),Heather Macdonald,collections.ed.ac.uk/art/record/50428?highlight=*:*
Standing Female Nude (Nov 1957),Walter Miller,collections.ed.ac.uk/art/record/20908?highlight=*:*
Life Painting (1918),Anne Redpath,collections.ed.ac.uk/art/record/20735?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53629?highlight=*:*
Unknown (1956),Alan M. Alexander,collections.ed.ac.uk/art/record/50597?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,collections.ed.ac.uk/art/record/21931?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20663?highlight=*:*
Reclining Female Nude (14 Dec 1952),Llewella Brayne,collections.ed.ac.uk/art/record/20940?highlight=*:*
Seated Male Nude (1955),Rosemary Gray,collections.ed.ac.uk/art/record/21188?highlight=*:*
Teacup,Emma Gillies,collections.ed.ac.uk/art/record/53654?highlight=*:*
Toledo (1950),Alastair Flattely,collections.ed.ac.uk/art/record/21374?highlight=*:*
Untitled - Portrait of a Reading Woman (Apr 1963),William Gillon,collections.ed.ac.uk/art/record/99478?highlight=*:*
Portrait of a Woman (1947),James Cumming,collections.ed.ac.uk/art/record/21363?highlight=*:*
