title,artist,link
Untitled (2002),Adrian Rodriguez,collections.ed.ac.uk/art/record/99944?highlight=*:*
Bubbie's Bay (2006),Rhoda Rosenburg,collections.ed.ac.uk/art/record/99878?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53669?highlight=*:*
Aduton 51 (1977),Paul Feiler,collections.ed.ac.uk/art/record/21666?highlight=*:*
Untitled (1989),Joanne Leonie Milne,collections.ed.ac.uk/art/record/21909?highlight=*:*
Portrait of a Man (1959),Jean I. Beattie,collections.ed.ac.uk/art/record/20920?highlight=*:*
Architectural Scene,Joanne Leonie Milne,collections.ed.ac.uk/art/record/21451?highlight=*:*
Portrait of a Man (1955),Alexander S Campbell,collections.ed.ac.uk/art/record/21316?highlight=*:*
Self Portrait,Jacqueline A N Stieger,collections.ed.ac.uk/art/record/22699?highlight=*:*
Untitled,Kirkland Main,collections.ed.ac.uk/art/record/99988?highlight=*:*
Unknown (Unknown),Unknown,collections.ed.ac.uk/art/record/21807?highlight=*:*
Seated Male Nude with Blanket (1959),W Campbell,collections.ed.ac.uk/art/record/20972?highlight=*:*
3 peakcocks all sitting in similar position on tree branch (1962-1963),Lesley M. Johns,collections.ed.ac.uk/art/record/99331?highlight=*:*
Untitled (2002),Elaine Bay,collections.ed.ac.uk/art/record/99948?highlight=*:*
House in a Landscape,Unknown,collections.ed.ac.uk/art/record/21501?highlight=*:*
Portrait of a Man,Michael Douleny,collections.ed.ac.uk/art/record/21480?highlight=*:*
Untitled (Unknown),Louisa Burnett Hall,collections.ed.ac.uk/art/record/21958?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21621?highlight=*:*
Portrait of a Young Woman (1958),Richard McNeill,collections.ed.ac.uk/art/record/20890?highlight=*:*
"Armorial panel from left tower of Mar's Wark, Stirling (Pre 1893)",Unknown,collections.ed.ac.uk/art/record/20555?highlight=*:*
Vision in Time III (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,collections.ed.ac.uk/art/record/54752?highlight=*:*
Evening Jaipur No.2,Ernest S. Lumsden,collections.ed.ac.uk/art/record/21750?highlight=*:*
Reclining Female Nude (1955),Fiona C MacCormick,collections.ed.ac.uk/art/record/21014?highlight=*:*
Orange Abstract (1987),Alistair Banks,collections.ed.ac.uk/art/record/22724?highlight=*:*
Side Plate,Emma Gillies,collections.ed.ac.uk/art/record/53611?highlight=*:*
Standing Woman (1959),C Byron,collections.ed.ac.uk/art/record/20915?highlight=*:*
Seated Female Nude with Striped Floor Drape,Unknown,collections.ed.ac.uk/art/record/22642?highlight=*:*
"Bank of the Amstel, Amsterdam (30 Aug 1948)",Marjorie Wallace,collections.ed.ac.uk/art/record/50448?highlight=*:*
Loading Cargo (1984),Gwyneth M. Leech,collections.ed.ac.uk/art/record/21902?highlight=*:*
Unknown (1950),Jacquetta Burn-Callander,collections.ed.ac.uk/art/record/50574?highlight=*:*
Untitled - Life Drawing of Reclining Nude Male (1967),Isobel T Johnstone,collections.ed.ac.uk/art/record/99250?highlight=*:*
Unknown (1953-1954),Lawrence F. Baxter,collections.ed.ac.uk/art/record/50616?highlight=*:*
Seated Female Nude (03 Oct 1957),Sheena McEwan,collections.ed.ac.uk/art/record/20899?highlight=*:*
untitled (Unknown),Valerie Anderson,collections.ed.ac.uk/art/record/21890?highlight=*:*
View of a Fair (1949),David McClure,collections.ed.ac.uk/art/record/21333?highlight=*:*
Portrait of Seated Woman (1965),William Gillon,collections.ed.ac.uk/art/record/21343?highlight=*:*
Portrait of a Boy (1950),Cecile E. M. Johnstone,collections.ed.ac.uk/art/record/22667?highlight=*:*
Untitled,Roy M. W. Cameron,collections.ed.ac.uk/art/record/112348?highlight=*:*
Untitled - Leaning Semi-Nude Male (1962),Roselyn M Underwood,collections.ed.ac.uk/art/record/99443?highlight=*:*
Self portrait (2006),Bridget Steed,collections.ed.ac.uk/art/record/99857?highlight=*:*
Horse,Emma Gillies,collections.ed.ac.uk/art/record/53756?highlight=*:*
Standing Female Nude (1953),Eileen Duncan,collections.ed.ac.uk/art/record/20929?highlight=*:*
Unknown (1952),Rosemary Bagshaw,collections.ed.ac.uk/art/record/53518?highlight=*:*
Untitled - Nude Male and Reflection (1967),Margaret Lothian,collections.ed.ac.uk/art/record/99271?highlight=*:*
Male Nude at Wash Bowl (recto),Unknown,collections.ed.ac.uk/art/record/22649?highlight=*:*
Untitled (1963),L. Allan,collections.ed.ac.uk/art/record/22012?highlight=*:*
Standing Male Nude (21 May 1954),Margaret Proudfoot,collections.ed.ac.uk/art/record/21251?highlight=*:*
Portrait of a Woman (1939-1940),James H Donaldson,collections.ed.ac.uk/art/record/21123?highlight=*:*
Sedilia from Lincluden Collegiate Church (1912),Joseph Cavagnari,collections.ed.ac.uk/art/record/20568?highlight=*:*
Copper Engraving (1949),Alfred Hackney,collections.ed.ac.uk/art/record/21826?highlight=*:*
Robin (1953),Diana M. Douglas-Hamilton,collections.ed.ac.uk/art/record/22741?highlight=*:*
Unknown (1962),Leslie Johns,collections.ed.ac.uk/art/record/50479?highlight=*:*
Teacup,Emma Gillies,collections.ed.ac.uk/art/record/53639?highlight=*:*
Study for Composition (1949),Alistair Smart,collections.ed.ac.uk/art/record/50477?highlight=*:*
Untitled (1981-1986),Paul John Croft,collections.ed.ac.uk/art/record/21860?highlight=*:*
"Architrave and lintel from Collegiate Church of St Gertrude, Nivelles, Belgium (Anglo-Saxon)",Unknown,collections.ed.ac.uk/art/record/20552?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,collections.ed.ac.uk/art/record/21786?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21617?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21982?highlight=*:*
Unknown (1955),Edith Duke,collections.ed.ac.uk/art/record/53526?highlight=*:*
Portrait of Josephine Baker (1997),"Eduardo Luigi Paolozzi KBE, RA",collections.ed.ac.uk/art/record/50366?highlight=*:*
Portrait of a Woman (1962),Hope,collections.ed.ac.uk/art/record/21281?highlight=*:*
Aux cinq billiards (1963),Ann F Ward,collections.ed.ac.uk/art/record/99340?highlight=*:*
Abstract (Unknown),Mark Harris,collections.ed.ac.uk/art/record/21660?highlight=*:*
Untitled - Abstract Print of Foliage in Black and White (1982),Rena R. Simpson II,collections.ed.ac.uk/art/record/99332?highlight=*:*
Brick coloured woven fragment,Unknown,collections.ed.ac.uk/art/record/102701?highlight=*:*
Architectural Drawing,Adri C Chrichton,collections.ed.ac.uk/art/record/21514?highlight=*:*
Prophet (1953),Ben Zion,collections.ed.ac.uk/art/record/21684?highlight=*:*
Untitled,R. Euman,collections.ed.ac.uk/art/record/112502?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/50407?highlight=*:*
Untitled - Abstract Ocean of Dark Reds and Greens and Blacks (1993),Norman Shaw,collections.ed.ac.uk/art/record/99463?highlight=*:*
Portrait of a Man Seated (1960),Jane Heggie,collections.ed.ac.uk/art/record/20980?highlight=*:*
Small brown female figure with long wavy hair,NA,collections.ed.ac.uk/art/record/20547?highlight=*:*
Portrait of a Woman (1954),David Ewans,collections.ed.ac.uk/art/record/21215?highlight=*:*
(1965),Frances Sander,collections.ed.ac.uk/art/record/99526?highlight=*:*
Man in Spanish Costume (1955),Alexander S Campbell,collections.ed.ac.uk/art/record/21317?highlight=*:*
Seated Male Nude (1959),Denness Morton,collections.ed.ac.uk/art/record/21079?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21565?highlight=*:*
Abstract,L Henniker,collections.ed.ac.uk/art/record/21455?highlight=*:*
Green Square Abstract,Unknown,collections.ed.ac.uk/art/record/22625?highlight=*:*
Angel with Candelabrum (facing right),Unknown,collections.ed.ac.uk/art/record/20542?highlight=*:*
A Head (Unknown),Unknown,collections.ed.ac.uk/art/record/21561?highlight=*:*
Unknown,Edith Duke,collections.ed.ac.uk/art/record/53525?highlight=*:*
Abstract with White Paper Strips,Alistair J. Magee,collections.ed.ac.uk/art/record/22540?highlight=*:*
Portrait of a Man (1956),J Gorman,collections.ed.ac.uk/art/record/21181?highlight=*:*
Portrait of a Man (1957),Norman E Kirkpatrick,collections.ed.ac.uk/art/record/21022?highlight=*:*
Abstract (1971),John F. Mooney,collections.ed.ac.uk/art/record/22679?highlight=*:*
Portrait of a Woman (1957),Unknown,collections.ed.ac.uk/art/record/21257?highlight=*:*
Jacobean fragment (Jacobean?),Unknown,collections.ed.ac.uk/art/record/100011?highlight=*:*
Elders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20680?highlight=*:*
Untitled - Woman in Hat with Ribbon (1980),Carolyn S Byres,collections.ed.ac.uk/art/record/99426?highlight=*:*
Abstract Still Life (Circa 1975),Lindsay Moran,collections.ed.ac.uk/art/record/20761?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53657?highlight=*:*
Extrude (2013),Charlotte Roseberry,collections.ed.ac.uk/art/record/21302?highlight=*:*
Standing Female Nude (1959),C Byron,collections.ed.ac.uk/art/record/20916?highlight=*:*
Sketch for Final Composition,Colin Brown,collections.ed.ac.uk/art/record/53566?highlight=*:*
Portrait of a Man in Spectacles (1958),Richard McNeill,collections.ed.ac.uk/art/record/20891?highlight=*:*
Smugglerius (1854),William Pink,collections.ed.ac.uk/art/record/20600?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53671?highlight=*:*
Landscape (Circa 1950),Marion M Cooper,collections.ed.ac.uk/art/record/21389?highlight=*:*
The Smile You Put On Everyday (2016),Ruoyan Wang,collections.ed.ac.uk/art/record/99241?highlight=*:*
Reverse Reserve (1975),Gordon Mitchell,collections.ed.ac.uk/art/record/22522?highlight=*:*
Green Landscape (Circa 1967),Helen Pollock,collections.ed.ac.uk/art/record/21436?highlight=*:*
Portrait of a Seated Woman (1950),Alexander F Mitchell,collections.ed.ac.uk/art/record/21053?highlight=*:*
Drawing of Dominico Mancini (1946),Dorothy M. Peach,collections.ed.ac.uk/art/record/21740?highlight=*:*
Portrait of Andrew Gorrie (1964),Joyce M Cumming,collections.ed.ac.uk/art/record/21347?highlight=*:*
Standing Male Nude (1953),Allan Sutherland,collections.ed.ac.uk/art/record/20979?highlight=*:*
St Pauls at Night (1950),Alexander Cree,collections.ed.ac.uk/art/record/50546?highlight=*:*
Untitled,Bill Breckervidge,collections.ed.ac.uk/art/record/21458?highlight=*:*
Plate (1924),Emma Gillies,collections.ed.ac.uk/art/record/53726?highlight=*:*
Untitled,Bennett,collections.ed.ac.uk/art/record/111042?highlight=*:*
Plakati Hrvatskog Narodnog Kazališta Split (1984),Boris Bućan,collections.ed.ac.uk/art/record/22036?highlight=*:*
Still Life with Shadow of Kettle (1966),James H. Fairgrieve,collections.ed.ac.uk/art/record/22734?highlight=*:*
Portrait of Woman with Hand on her Head (1950),Ailsa Robertson,collections.ed.ac.uk/art/record/20803?highlight=*:*
Untitled (1962),Robert S. Crozier,collections.ed.ac.uk/art/record/112311?highlight=*:*
Replica cast (brown) of Partheon slab PF045 US09,Unknown,collections.ed.ac.uk/art/record/20658?highlight=*:*
Untitled (1966),Helen G. S Forde,collections.ed.ac.uk/art/record/99817?highlight=*:*
Reclining Nude with Jacket (1967),Christine Malcolm,collections.ed.ac.uk/art/record/21266?highlight=*:*
Untitled (Unknown),Wendy Gunn,collections.ed.ac.uk/art/record/21719?highlight=*:*
Seated Female Nude (1954),Leslie Drummond,collections.ed.ac.uk/art/record/21259?highlight=*:*
9 European Cafes: no 5: La Couple (Circa 1977),Timothy Morrison,collections.ed.ac.uk/art/record/22618?highlight=*:*
Untitled (1972),Lin Hunter,collections.ed.ac.uk/art/record/21834?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20727?highlight=*:*
Untitled,Douglas Cook,collections.ed.ac.uk/art/record/22567?highlight=*:*
Seated Figure Reading Newspaper,Angus C. A. Hood,collections.ed.ac.uk/art/record/22610?highlight=*:*
Seascape (1978),Michael Kinane,collections.ed.ac.uk/art/record/21492?highlight=*:*
Man with Woman Smoking (1964),Kirkland Main,collections.ed.ac.uk/art/record/22549?highlight=*:*
Unknown (1955),Alejandro B. Brasó,collections.ed.ac.uk/art/record/50603?highlight=*:*
Untitled,McArthur,collections.ed.ac.uk/art/record/111043?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/99922?highlight=*:*
Portrait of Man in Red Jacket (1968),Michael Docherty,collections.ed.ac.uk/art/record/21178?highlight=*:*
Untitled (Unknown),Susie Wilson,collections.ed.ac.uk/art/record/21796?highlight=*:*
Untitled (1980),Unknown,collections.ed.ac.uk/art/record/99823?highlight=*:*
1. Meccarama (Unknown),Anthony Benjamin,collections.ed.ac.uk/art/record/21667?highlight=*:*
Untitled (1989),Claire E. Banks,collections.ed.ac.uk/art/record/22555?highlight=*:*
Norwegian Ponies (1953),Mollie E N Langlands,collections.ed.ac.uk/art/record/99218?highlight=*:*
Seated Man seen from behind (Circa 1955),Peter McGinn,collections.ed.ac.uk/art/record/21089?highlight=*:*
Horse and Cart (1956),Moira E. Brown,collections.ed.ac.uk/art/record/22712?highlight=*:*
Untitled (2007),Matt Carter,collections.ed.ac.uk/art/record/99975?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53631?highlight=*:*
Untitled (1961),Norma Kirk,collections.ed.ac.uk/art/record/22011?highlight=*:*
Portrait of a Woman (Feb 1952),Martin G C McKeown,collections.ed.ac.uk/art/record/21414?highlight=*:*
Unknown,Douglas Baxter,collections.ed.ac.uk/art/record/50400?highlight=*:*
Unknown (31 May 1960),Rhona L. Barclay,collections.ed.ac.uk/art/record/50618?highlight=*:*
Portrait of a Seated Man (1954),Edith Fraser,collections.ed.ac.uk/art/record/21208?highlight=*:*
Untitled,Susan Pettinger,collections.ed.ac.uk/art/record/112500?highlight=*:*
Reclining Female Nude (1949-1950),Mollie E N Langlands,collections.ed.ac.uk/art/record/21019?highlight=*:*
"Rock R Coast, Hethleen Russell, Bournemouth (1966)",Kathleen Russell,collections.ed.ac.uk/art/record/99523?highlight=*:*
Untitled (1960),Kathleen Russell,collections.ed.ac.uk/art/record/99519?highlight=*:*
Untitled (1997),Sera K,collections.ed.ac.uk/art/record/21779?highlight=*:*
Printed Fabric,Robin Jones,collections.ed.ac.uk/art/record/22538?highlight=*:*
John Mooney Paintings (1984),John Mooney,collections.ed.ac.uk/art/record/21846?highlight=*:*
Coffee Pot Lid,Emma Gillies,collections.ed.ac.uk/art/record/53692?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53713?highlight=*:*
Harbour (1953-1954),Alistair M Park,collections.ed.ac.uk/art/record/21348?highlight=*:*
Untitled (1987),Susan Veitch,collections.ed.ac.uk/art/record/21898?highlight=*:*
Still Life - Fish (1961),Thora Clyne,collections.ed.ac.uk/art/record/22640?highlight=*:*
Castor and Pollux (1835),Sarti,collections.ed.ac.uk/art/record/20593?highlight=*:*
Patchwork quilt (1700-1899),Unknown,collections.ed.ac.uk/art/record/102731?highlight=*:*
untitled,Joyce M Cumming,collections.ed.ac.uk/art/record/112357?highlight=*:*
Untitled - Nude Female Standing (1964),Eleanor Maiden,collections.ed.ac.uk/art/record/99360?highlight=*:*
Drawing of a Woman (1958),E McCallum,collections.ed.ac.uk/art/record/20960?highlight=*:*
"Still Life, Oil Paints and Pots (1949)",Zygmunt Bukowski,collections.ed.ac.uk/art/record/22732?highlight=*:*
Unknown (1949),Mary D Thomson,collections.ed.ac.uk/art/record/50453?highlight=*:*
Standing Male Nude (1960),Jean Richie,collections.ed.ac.uk/art/record/20790?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20710?highlight=*:*
Frieze from the Temple of Athena Nike (left slab) (1827),NA,collections.ed.ac.uk/art/record/20625?highlight=*:*
Untitled (2002),Gillian Curry,collections.ed.ac.uk/art/record/99939?highlight=*:*
Untitled (1966),Molly Harris,collections.ed.ac.uk/art/record/99834?highlight=*:*
Untitled (Unknown),Nicholas File,collections.ed.ac.uk/art/record/21781?highlight=*:*
Swedish apron (1958),Unknown,collections.ed.ac.uk/art/record/102689?highlight=*:*
Portrait of a Seated Man (May 1960),John Gilbert,collections.ed.ac.uk/art/record/20996?highlight=*:*
Florence (Jan 1956),John P Busby,collections.ed.ac.uk/art/record/21382?highlight=*:*
Crazily Paved (Unknown),John Brown,collections.ed.ac.uk/art/record/21661?highlight=*:*
Walking the Wall (Unknown),Victoria C F Bernie,collections.ed.ac.uk/art/record/21906?highlight=*:*
Untitled - City Scene at Night (1964-1965),William Gillon,collections.ed.ac.uk/art/record/99483?highlight=*:*
Untitled (Unknown),J.,collections.ed.ac.uk/art/record/21953?highlight=*:*
Teacup,Emma Gillies,collections.ed.ac.uk/art/record/53655?highlight=*:*
Swirlings (1989),Dorothy Black,collections.ed.ac.uk/art/record/21972?highlight=*:*
Male Model with Towel (1950),Alexander Cree,collections.ed.ac.uk/art/record/22661?highlight=*:*
Untitled (Dec 1972),Alison Duncan,collections.ed.ac.uk/art/record/21581?highlight=*:*
Set of NDS slides,Unknown,collections.ed.ac.uk/art/record/102675?highlight=*:*
Still Life Beside Window (1955),Elizabeth Blackadder,collections.ed.ac.uk/art/record/20738?highlight=*:*
Marshal from the West Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20689?highlight=*:*
Portrait of a Woman (1939-1940),James Gordon,collections.ed.ac.uk/art/record/21097?highlight=*:*
Unknown (1950),James T. Ferguson,collections.ed.ac.uk/art/record/53497?highlight=*:*
Untitled (1967),William G.H. Fulton,collections.ed.ac.uk/art/record/99820?highlight=*:*
Untitled (1988),Jodie Pear,collections.ed.ac.uk/art/record/21935?highlight=*:*
Untitled,Unknown,collections.ed.ac.uk/art/record/99860?highlight=*:*
Men’s smock (19th Century),Unknown,collections.ed.ac.uk/art/record/100012?highlight=*:*
Seated Male Nude (1959),George Mackintosh,collections.ed.ac.uk/art/record/20884?highlight=*:*
Untitled (1964),James Goodall,collections.ed.ac.uk/art/record/99847?highlight=*:*
Preparatory Sketch (1962),John Picking,collections.ed.ac.uk/art/record/50528?highlight=*:*
Untitled (Unknown),Dilys R. Lovell,collections.ed.ac.uk/art/record/21574?highlight=*:*
Hill Fence (1976),Aitons Bytautus,collections.ed.ac.uk/art/record/50385?highlight=*:*
Unknown (Unknown),Unknown,collections.ed.ac.uk/art/record/21675?highlight=*:*
Untitled (Unknown),Anna Chapman,collections.ed.ac.uk/art/record/21603?highlight=*:*
Unknown,Malcolm Clark,collections.ed.ac.uk/art/record/50413?highlight=*:*
"Unknown, abstract (2004)",Amy Marshall,collections.ed.ac.uk/art/record/99486?highlight=*:*
Untitled (1961),Dr Ainslie Yule,collections.ed.ac.uk/art/record/99531?highlight=*:*
An Táin (1964),John B Vallely,collections.ed.ac.uk/art/record/21005?highlight=*:*
Portrait of a Man (Circa 1952),John Houston,collections.ed.ac.uk/art/record/21351?highlight=*:*
Untitled - Two Boys in Patterned Shirts (1985-1986),Dorothy Black,collections.ed.ac.uk/art/record/99467?highlight=*:*
Portrait of a Woman (1960),Mary Shanks,collections.ed.ac.uk/art/record/20947?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53538?highlight=*:*
Relic of Origins: Wild Boar (2013),Kyle Noble,collections.ed.ac.uk/art/record/21304?highlight=*:*
Unknown (1947),Sheila Turnbull,collections.ed.ac.uk/art/record/50454?highlight=*:*
Man with Concrete Jungle Record,Garry Campbell,collections.ed.ac.uk/art/record/21426?highlight=*:*
Garden of Eden (1987),Unknown,collections.ed.ac.uk/art/record/21608?highlight=*:*
Untitled (2002),Kirsty MacDonald,collections.ed.ac.uk/art/record/99949?highlight=*:*
Portrait of a Man (1960),John Johnstone,collections.ed.ac.uk/art/record/21357?highlight=*:*
Landscape (Circa 1953),Trevor Stubley,collections.ed.ac.uk/art/record/21413?highlight=*:*
Untitled (2002),Zillah Green,collections.ed.ac.uk/art/record/99951?highlight=*:*
Untitled (1962),Leslie Johns,collections.ed.ac.uk/art/record/21767?highlight=*:*
Standing Female Nude (1957),Peter Coyle,collections.ed.ac.uk/art/record/20969?highlight=*:*
Gem cabinet 3 (of 6) containing 43 medallions,Unknown,collections.ed.ac.uk/art/record/20617?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53663?highlight=*:*
Still Life - Tomatoes (1960),Thora Clyne,collections.ed.ac.uk/art/record/22719?highlight=*:*
Urban Scene,Paul J Donaldson,collections.ed.ac.uk/art/record/21446?highlight=*:*
"Metope 10, south entablature, Parthenon (1837)",NA,collections.ed.ac.uk/art/record/20649?highlight=*:*
Banners of the Banned (MAY 2017),Elle McKee,collections.ed.ac.uk/art/record/100019?highlight=*:*
Unknown (1978),W Rennie,collections.ed.ac.uk/art/record/50427?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21586?highlight=*:*
Teapot Lid,Emma Gillies,collections.ed.ac.uk/art/record/53745?highlight=*:*
Untitled - Abstract Blue and Green Squares (1994),Roger Elliot,collections.ed.ac.uk/art/record/99461?highlight=*:*
Tottenham Court Road Underground (1987),"Eduardo Luigi Paolozzi KBE, RA",collections.ed.ac.uk/art/record/21702?highlight=*:*
"Circo Togni, Ravenna (1957)",Peter McGinn,collections.ed.ac.uk/art/record/21115?highlight=*:*
Damn blast and a side order of damn,Colin Montgomery,collections.ed.ac.uk/art/record/22545?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53660?highlight=*:*
Mourner No. 54 from the Tomb of John the fearless (Pre 1895),Unknown,collections.ed.ac.uk/art/record/20610?highlight=*:*
Oscillation Three (2015),Mark Osborne,collections.ed.ac.uk/art/record/53776?highlight=*:*
Untitled (1963),Carol Handyside,collections.ed.ac.uk/art/record/99842?highlight=*:*
Anti-Matter (2013),Marissa Stoffer,collections.ed.ac.uk/art/record/47441?highlight=*:*
Untitled - 1/2 hr Life Drawing of Man in a Blue Costume (1963),Isobel T Johnstone,collections.ed.ac.uk/art/record/99248?highlight=*:*
Untitled - Kings and Queens (1969),Michael T R B Turnbull,collections.ed.ac.uk/art/record/99446?highlight=*:*
Lit Doorway,C. K.?,collections.ed.ac.uk/art/record/22541?highlight=*:*
Unknown,J Hamilton Glass,collections.ed.ac.uk/art/record/50459?highlight=*:*
Singer (Jan 1987),Paul Rooney,collections.ed.ac.uk/art/record/21841?highlight=*:*
Agricultural Tools,Alexander Curtis,collections.ed.ac.uk/art/record/21505?highlight=*:*
In the Kitchen (1989),Robert Bushe,collections.ed.ac.uk/art/record/22608?highlight=*:*
Men Bathing (1953-1954),Trevor Stubley,collections.ed.ac.uk/art/record/20796?highlight=*:*
Landscape (1948),V Janikowski,collections.ed.ac.uk/art/record/21422?highlight=*:*
Unknown (1949),Douglas Baxter,collections.ed.ac.uk/art/record/50577?highlight=*:*
Placa del Sol (1991),Caroline Conway,collections.ed.ac.uk/art/record/21839?highlight=*:*
Abstract,V. Constant,collections.ed.ac.uk/art/record/111443?highlight=*:*
Seated Elderly Couple (Apr 1963),John Bellany,collections.ed.ac.uk/art/record/20767?highlight=*:*
Untitled - Sitting Nude Woman (1968),Alastair Burns,collections.ed.ac.uk/art/record/99475?highlight=*:*
Portrait of a Woman (1950),Alexander F Mitchell,collections.ed.ac.uk/art/record/21055?highlight=*:*
Woven fragments (waistcoat),Unknown,collections.ed.ac.uk/art/record/102702?highlight=*:*
Man in Blue Waistcoat,Henry Rodgers,collections.ed.ac.uk/art/record/21461?highlight=*:*
Finial (2018),Jack Handscombe,collections.ed.ac.uk/art/record/102754?highlight=*:*
Standing Male Nude (Circa 1938),M E James,collections.ed.ac.uk/art/record/21028?highlight=*:*
Train Station Interior,Eric Urquhart,collections.ed.ac.uk/art/record/21507?highlight=*:*
Riders: Parthenon Frieze (1836-1837),NA,collections.ed.ac.uk/art/record/20706?highlight=*:*
Sampler on course slub material,Unknown,collections.ed.ac.uk/art/record/102665?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53512?highlight=*:*
Seated Female Nude (1966-1967),George Donald,collections.ed.ac.uk/art/record/21094?highlight=*:*
Untitled (2014),Layla Kerley,collections.ed.ac.uk/art/record/47454?highlight=*:*
Isabella of Aragon (broken) (Post 1912),Unknown,collections.ed.ac.uk/art/record/20532?highlight=*:*
Pyreneen Vogel (2002),Frances Ryan,collections.ed.ac.uk/art/record/21806?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53709?highlight=*:*
Untitled,NA,collections.ed.ac.uk/art/record/111044?highlight=*:*
Untitled - Horses and Riders (1963),Jean M. Marshall,collections.ed.ac.uk/art/record/99363?highlight=*:*
Unknown (1960),Dorothea Brown,collections.ed.ac.uk/art/record/50601?highlight=*:*
Abstract Composition in Grey with Circle (1989),Linda A. Henniker,collections.ed.ac.uk/art/record/22709?highlight=*:*
Unknown (1946),Alan Lefley,collections.ed.ac.uk/art/record/50487?highlight=*:*
Food Print (2006),Tomoko Kawanaka,collections.ed.ac.uk/art/record/99862?highlight=*:*
Drawing of a Seated Woman (1956-1959),Jacqueline A N Stieger,collections.ed.ac.uk/art/record/20819?highlight=*:*
Unknown,Stuart T. MacKenzie,collections.ed.ac.uk/art/record/53561?highlight=*:*
Winged Victory of Samothrace (Post 1879),Musée Royal du Louvre,collections.ed.ac.uk/art/record/20585?highlight=*:*
The Ideal (1991),Karen Guthrie,collections.ed.ac.uk/art/record/21907?highlight=*:*
Unknown (20 Feb 1956),James C. Y. Gavin,collections.ed.ac.uk/art/record/53494?highlight=*:*
Seated Female Nude (1957),Hillary Lewis,collections.ed.ac.uk/art/record/21160?highlight=*:*
Unknown,Gordon Anderson,collections.ed.ac.uk/art/record/50411?highlight=*:*
Portrait of a Man (1983-1988),Renny Tait,collections.ed.ac.uk/art/record/21472?highlight=*:*
Unknown (1947-1948),William D Clyne,collections.ed.ac.uk/art/record/50635?highlight=*:*
Female Nude with Pitcher,Samuel John Peploe,collections.ed.ac.uk/art/record/20736?highlight=*:*
Untitled (Nov 1988),Joanne Leonie Milne,collections.ed.ac.uk/art/record/21936?highlight=*:*
West Coast Seascape (Unknown),Catherine Orbach,collections.ed.ac.uk/art/record/21790?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21566?highlight=*:*
Inverleith,Janice McNab,collections.ed.ac.uk/art/record/22526?highlight=*:*
Step 3 (2013),Maria Hadam,collections.ed.ac.uk/art/record/21308?highlight=*:*
Untitled (1946),Vivian Chapman,collections.ed.ac.uk/art/record/21735?highlight=*:*
Reclining Male Nude (1959),Jean I. Beattie,collections.ed.ac.uk/art/record/20923?highlight=*:*
Untitled (1969),Richard Easson,collections.ed.ac.uk/art/record/22493?highlight=*:*
Sketches of Five Heads (1959),Denness Morton,collections.ed.ac.uk/art/record/20886?highlight=*:*
The Jungle (1990),John Brown,collections.ed.ac.uk/art/record/99469?highlight=*:*
Portrait of a Woman (1948),Thomas Kim Redpath,collections.ed.ac.uk/art/record/20800?highlight=*:*
Unknown (1960),Hugh Deans,collections.ed.ac.uk/art/record/53577?highlight=*:*
Donkey and Cart in Landscape (Circa 1955),Mollie E N Langlands,collections.ed.ac.uk/art/record/21017?highlight=*:*
Untitled (1962),Underwood,collections.ed.ac.uk/art/record/22502?highlight=*:*
Suit of Armour (Circa 1964),Kirkland Main,collections.ed.ac.uk/art/record/21170?highlight=*:*
The Judgement of Paris (1959),Kenneth Dingwall,collections.ed.ac.uk/art/record/22713?highlight=*:*
Portrait of a Woman (1950),Zygmunt Bukowski,collections.ed.ac.uk/art/record/21368?highlight=*:*
